5,4,6,2,0,2,0
19,4,6,3,1,3,1
7,4,3,1,0,4,0
34,3,6,3,0,4,0
5,1,5,1,1,4,1
34,4,4,3,1,3,0
31,1,8,1,0,2,0
21,4,9,3,0,1,0
9,4,7,2,0,3,0
14,2,4,3,1,2,0
32,3,3,1,1,4,1
23,1,10,2,1,1,1
26,2,10,3,0,3,0
6,2,6,2,0,1,0
30,3,3,3,0,5,1
36,3,5,3,1,5,0
37,1,5,3,1,5,1
14,5,4,1,0,3,1
9,1,8,3,1,5,1
29,4,4,2,0,2,1
36,2,3,1,1,3,0
44,3,7,3,1,3,1
27,4,9,1,1,2,0
42,3,6,1,0,4,0
36,1,9,3,1,5,1
24,4,3,3,0,3,1
34,4,3,1,0,4,0
48,1,8,2,0,5,0
37,4,9,3,0,5,0
18,4,6,1,0,4,0
24,1,7,3,0,5,1
19,3,4,3,0,2,1
41,5,3,2,1,1,1
36,1,3,1,1,2,0
21,3,3,3,1,3,0
26,1,7,3,1,3,0
30,5,6,2,0,4,0
20,1,8,3,1,5,1
38,2,7,3,0,2,0
37,2,8,3,0,1,0
6,3,3,3,1,3,1
17,3,4,3,0,4,1
11,5,9,2,1,4,1
31,5,7,2,0,5,0
10,5,10,1,0,2,1
30,3,8,2,1,5,0
20,3,10,3,0,3,0
30,4,9,3,0,3,0
22,5,5,1,0,1,0
8,3,7,2,0,1,1
24,4,3,1,1,4,0
50,1,4,2,1,2,0
30,5,9,2,1,5,0
15,1,4,2,0,5,0
33,2,8,1,1,5,0
14,3,7,3,0,5,1
37,2,6,1,0,2,1
29,2,6,2,0,2,0
20,2,9,2,0,5,0
27,3,8,1,0,2,0
9,2,7,3,0,4,1
10,5,10,2,1,2,1
12,1,10,2,1,1,1
48,1,6,3,0,3,0
18,4,5,3,0,4,1
5,4,5,1,1,3,1
21,4,6,3,0,2,0
46,5,5,1,0,3,0
5,3,10,1,1,2,0
28,2,5,3,0,5,0
28,1,4,2,1,3,0
41,3,3,2,1,4,1
24,1,4,3,0,3,1
36,3,8,2,1,2,1
26,1,8,3,1,1,0
28,2,8,2,1,1,1
31,3,5,1,1,3,1
12,3,5,1,1,5,1
27,3,10,1,1,3,1
45,4,7,1,1,4,1
9,4,10,1,1,4,0
7,1,8,2,1,1,0
48,4,6,3,0,5,1
9,3,10,3,1,2,1
25,1,9,1,1,2,1
16,1,9,3,1,5,0
39,3,10,3,0,1,1
7,5,4,3,1,4,1
35,4,7,3,1,3,0
45,3,3,3,0,3,1
27,3,4,3,1,4,1
32,5,6,1,0,2,0
26,5,4,2,1,5,0
6,3,6,2,0,3,0
18,2,9,1,1,4,1
28,2,4,1,1,2,0
38,5,3,2,1,1,1
5,5,7,3,0,5,0
17,1,5,2,1,1,1
33,2,5,2,1,2,1
